title,link,description,published,contributors
Is Australia a conspiracy theory nation?,https://www.theguardian.com/australia-news/audio/2025/aug/05/is-australia-a-conspiracy-theory-nation-full-story-podcast,"Conspiracy theories and fringe ideas are now increasingly a visible part of Australian politics and public life. But what pushes people to abandon our shared reality, and what is responsible for the rapid rise in false truths?Reged Ahmad talks with Ariel Bogle and Cam Wilson about the threat conspiracy theories pose to Australia",2025-08-05,"Presented by Reged Ahmad, with Ariel Bogle, and Cam Wilson. Produced by Karishma Luthria, and Miles Herbert. Hannah Parkes in the executive producer of Full Story."
The Descendants episode 1: decoding a massacre,https://www.theguardian.com/australia-news/audio/2025/aug/04/the-descendants-episode-1-decoding-a-massacre-full-story-podcast-ntwnfb,"Colonial pastoralist Major Logue is a figure of note in the city of Geraldton, Western Australia. But his diaries, written partly in code, reveal a dark and confronting chapter of Australia’s past – a history that Yamatji people already know all too well.Descendants of some perpetrator families are now challenging what they call ‘colonial silence’. For them, truth-telling is real, personal and local. There are no guidelines or rulebooks, and it can lead to denial and indifference – but it can also be a liberation.In this two-part special Full Story, Guardian Australia’s Indigenous affairs reporter Sarah Collard and Lorena Allam from UTS’s Jumbunna Institute discuss decoding the truth behind Logue’s diaries, and how descendants of colonial violence are coming together to heal from the horrors of the pastWarning: This episode contains historical records that use racist and offensive language, and descriptions of events that will be distressing to some",2025-08-04,Presented by Lorena Allam with Sarah Collard. Produced by Camilla Hannan and Karishma Luthria. Sound design and mix by Camilla Hannan. The executive producer of Full Story is Hannah Parkes
Back to Back Barries: does Albanese care more about polls or Palestine?,https://www.theguardian.com/australia-news/audio/2025/aug/02/back-to-back-barries-does-albanese-care-more-about-polls-or-palestine,"Barrie Cassidy and Tony Barry examine Labor and Liberal positions on recognising Palestine and ask: will the prime minister change Australia’s position on the issue?They also discuss the many obstacles to net zero, if 16-year-olds should be given the vote and why Barrie came last in maths at school",2025-08-02,Presented by Barrie Cassidy and Tony Barry; produced by Allison Chan and Camilla Hannan; the executive producer is Hannah Parkes
Newsroom edition: when will Australia recognise Palestine?,https://www.theguardian.com/australia-news/audio/2025/aug/01/newsroom-edition-when-will-australia-recognise-palestine-full-story-podcast-ntwnfb,"On Wednesday, Australia joined 14 other countries to describe the recognition of Palestine as ‘an essential step towards the two-state solution’, linking progress on statehood to the upcoming United Nations general assembly meeting in September. But the prime minister has resisted demands for increased sanctions on Israel as clamour grows to follow the UK, France and Canada in recognising Palestine as a state. Reged Ahmad talks to deputy editor Patrick Keneally and the head of newsroom, Mike Ticher, about the pressure pushing Australia towards Palestinian recognition",2025-08-01,"Presented by Reged Ahmad, with Mike Ticher, and Patrick Keneally. Produced by Miles Herbert, with sound design and mixing by Joe Koning, and video production by Bertin Huynh."
Could Murdoch bring down Trump?,https://www.theguardian.com/australia-news/audio/2025/jul/31/could-murdoch-bring-down-trump-full-story-podcast,"For Donald Trump, Jeffrey Epstein is the story that won’t go away. Most recently, the Wall Street Journal reported about a letter they claim was written by Trump to the late convicted sex offender for his birthday in 2003. And in response, the president is suing the paper and its billionaire owner, Rupert Murdoch.Prof Andrew Dodd speaks to Nour Haydar about how two of the most powerful men in the world got to this point and what could happen next",2025-07-31,Presented by Nour Haydar with Andrew Dodd. Produced by Allison Chan and Joe Koning who also did the sound design and mix. The executive producer is Hannah Parkes
"Why do we age in dramatic bursts, and what can we do about it?",https://www.theguardian.com/australia-news/audio/2025/jul/30/why-do-we-age-in-dramatic-bursts-and-what-can-we-do-about-it-full-story-podcast,"Scientists are beginning to understand that ageing is not a simply linear process. Instead, recent research appears to show that we age in three accelerated bursts; at about 40, 60 and 80 years old. To find out what might be going on, Ian Sample hears from Prof Michael Snyder, the director of the Center for Genomics and Personalised Medicine at Stanford University School of Medicine, who explains what the drivers of these bursts of ageing could be, and how they might be counteracted   You can support the Guardian at theguardian.com/fullstorysupport",2025-07-30,Presented by Ian Sample. Produced by Madeleine Finlay. Sound design by Ross Burns. The executive producer was Ellie Bury
Why the Australian Greens expelled their cofounder,https://www.theguardian.com/australia-news/audio/2025/jul/29/why-the-australian-greens-expelled-their-cofounder-full-story-podcast,"Earlier this month the Greens officially terminated the membership of one of its founders. Drew Hutton, the expelled member, criticised the party as ‘authoritarian’, claiming it is silencing members who challenge its official policies on gender identity – but the party says it will not tolerate harmful commentary within its membership.Queensland state reporter Joe Hinchcliffe tells Nour Haydar why the Greens have terminated Drew Hutton’s life membership over debate that the party considers harmful to trans people, but which Hutton has framed as an issue of free speech",2025-07-29,Presented by Nour Haydar with Joe Hinchliffe. Produced by Karishma Luthria and Joe Koning who also did the sound design and mix. The executive producer of Full Story is Hannah Parkes
Is this the tipping point in Gaza?,https://www.theguardian.com/australia-news/audio/2025/jul/28/is-this-the-tipping-point-in-gaza-full-story-podcast,"After days of international pressure, Israel has agreed to increase the amount of aid going into Gaza. It follows last week’s pictures coming out of the besieged territory showing confronting scenes of emaciated children. But experts say much more is needed to reverse what has been described as a full-blown starvation crisis.The Guardian’s William Christou speaks to Reged Ahmad from Jerusalem about whether this moment is a tipping point in the Israel-Gaza war",2025-07-28,Presented by Reged Ahmad  with William Christou. Produced by Allison Chan and Miles Herbert.  Hannah Parkes is the executive producer of Full Story
Is Trump building a political dynasty?,https://www.theguardian.com/australia-news/audio/2025/jul/28/is-trump-building-a-political-dynasty-full-story-podcast,"In this episode of Politics Weekly America, author Gwenda Blair and reporters Rosie Gray and Ashley Parker introduce us to the family members who helped the US president on his road to the White House and during his time in office",2025-07-28,"Presented by Jonathan Freedland , with Gwenda Blair , Rosie Gray  and Ashley Parker. Produced by Danielle Stephens and the executive producer is Zoe Hitch"
Back to Back Barries: is the Liberal-National Coalition a ‘sham marriage’?,https://www.theguardian.com/australia-news/audio/2025/jul/26/back-to-back-barries-is-the-liberal-national-coalition-a-sham-marriage,"Barrie Cassidy and Tony Barry examine the return of federal parliament, the net zero debate and why Latham’s portrait is still on display in the Labor party room",2025-07-26,Presented by Barrie Cassidy and Tony Barry; produced by Camilla Hannan; Executive producer is Hannah Parkes
Newsroom edition: the real net zero questions do not involve the Coalition,https://www.theguardian.com/australia-news/audio/2025/jul/25/newsroom-edition-the-real-net-zero-questions-do-not-involve-the-coalition-full-story-podcast,"Evidence shows urgent action is needed to prevent the climate crisis from worsening but political will is waning. As the Coalition takes the debate back to the future on the merits of net zero, questions remain about Labor’s willingness to act on its own policies.Reged Ahmad speaks to editor Lenore Taylor, head of newsroom Mike Ticher and climate and environment editor Adam Morton on what’s distracting Australia from acting on the climate emergency",2025-07-25,"Presented by Reged Ahmad with Lenore Taylor, Mike Ticher and Adam Morton. Produced by Karishma Luthriaand Joe Koning. Video production by Bertin Huynh"
The many controversies of Mark Latham — Full Story podcast,https://www.theguardian.com/australia-news/audio/2025/jul/23/the-many-controversies-of-mark-latham-full-story-podcast,"Mark Latham came close to becoming an Australian prime minister, but it’s very different headlines being made now.After a career of controversy, the New South Wales upper house MP is being taken to a NSW local court by an ex-partner seeking an apprehended violence order.Separately, there have also been claims of inappropriate behaviour directed towards other female MPs.Latham will contest the allegations in the AVO matter in court and has otherwise denied any wrongdoing.Chief political correspondent Tom McIlroy speaks to Reged Ahmad about how this latest controversy has ricocheted to the upper echelons of federal Labor and sparked a debate about his portrait, which still hangs in Parliament House",2025-07-23,"Presented by Reged Ahmad and Tom McIlroy; produced by Allison Chan , Karishma Luthria and Joe Koning , who also did the sound design and mix. The executive producer is Hannah Parkes"
What’s behind the cancelling of Stephen Colbert?,https://www.theguardian.com/australia-news/audio/2025/jul/22/whats-behind-the-cancelling-of-stephen-colbert-full-story-podcast,"The Late Show on CBS will come to an end next year after a 33-year run. The news came just days after the TV host referred to a $16m settlement between Trump and CBS parent company Paramount over an interview on their network as a “big fat bribe”. CBS has described the show’s cancellation as “purely financial”. But, as the Guardian’s Washington DC bureau chief David Smith tells Reged Ahmad, others are not so sure.   You can support the Guardian at theguardian.com/fullstorysupport",2025-07-22,Presented by Reged Ahmad with David Smith. Produced by Joe Koning. Sound design by Camilla Hannan. Executive producer is Hannah Parkes
"A new parliament, but is it new politics?",https://www.theguardian.com/australia-news/audio/2025/jul/21/a-new-parliament-but-is-it-new-politics-full-story-podcast,"As Australia’s federal parliament resumes, Reged Ahmad speaks to chief political correspondent Tom McIlroy and political reporter Krishani Dhanji about our new political reality Read more:   New parliament seating chart shows how Labor’s election win shifted the tectonic plates of federal politics",2025-07-21,Presented by Reged Ahmad with Tom McIlroy and Krishani Dhanji. Produced by Miles Herbert. Sound design and mix by Joe Koning. Executive producer is Hannah Parkes
