title,link,description,published,contributors
Can Covid-19 change how Australians value the great outdoors?,https://www.theguardian.com/australia-news/audio/2020/oct/02/can-covid-19-change-how-australians-value-the-great-outdoors,"Much of Australia has a climate that allows people to enjoy the outdoors most days of the year, but tough Covid-19 restrictions have limited the use of public space. Josephine Tovey looks at what’s changing in cities and considers how governments can make public spaces safely accessible for everyone",2020-10-02,Presented by Gabrielle Jackson with Josephine Tovey; produced by Ellen Leabeater. The executive producer is Miles Martignoni
How QAnon spread to Australia and spilled out into real life,https://www.theguardian.com/australia-news/audio/2020/oct/01/how-qanon-spread-to-australia-and-spilled-out-into-real-life,"In the second of a two-part special on QAnon, we look at how the baseless internet conspiracy theory spread to Australia, embroiling a Nationals MP from country Victoria who had to defend herself against a concerted campaign of vicious lies",2020-10-01,"Presented by Gabrielle Jackson and reported by Michael McGowan. Produced by Cheyne Anderson , Joe Koning and Ellen Leabeater. The executive producer is Miles Martignoni"
Full Story special: did anyone win the first US presidential debate?,https://www.theguardian.com/australia-news/audio/2020/sep/30/full-story-special-did-anyone-win-the-first-us-presidential-debate,It was tipped to be an explosive event and it didn’t disappoint. Jonathan Freedland and Guardian columnist Richard Wolffe discuss the highlights and lowlights of the first presidential election debate of 2020,2020-09-30,Presented by Jonathan Freedland with Richard Wolffe; produced by Danielle Stephens
The dangerous global spread of the QAnon conspiracy theory,https://www.theguardian.com/australia-news/audio/2020/sep/29/the-dangerous-global-spread-of-the-qanon-conspiracy-theory,"In the first of two episodes, Anushka Asthana and Julia Carrie Wong explore how QAnon has spread from the US to other parts of the world, including Australia, tracing its origins in a climate of deep uncertainty over the Covid pandemic and widespread social unrest",2020-09-29,"Presented by Anushka Asthana with Julia Carrie Wong, produced by Mythili Rao and Nicholas Cox. The executive producers are Nicole Jackson and Phil Maynard"
How the death of Ruth Bader Ginsburg could change America,https://www.theguardian.com/us-news/audio/2020/sep/29/how-the-death-of-ruth-bader-ginsburg-could-change-america,She was a pioneer of women’s rights and a liberal icon of the US supreme court. Ruth Bader Ginsburg’s death last week may alter the course of American politics and lead to a seismic shift towards a more conservative court for years to come,2020-09-29,Presented by Anushka Asthana and reporded by Moira Donegan. Produced by Serena Barker-Singh and Axel Kacoutié. The executive producers are Phil Maynard and Nicole Jackson. Adapted by Gabrielle Jackson
Inside the rescue of the pilot whales stranded in Tasmania,https://www.theguardian.com/australia-news/audio/2020/sep/28/inside-the-rescue-of-the-pilot-whales-stranded-in-tasmania,A huge rescue effort kicked off when hundreds of pilot whales beached themselves in Macquarie Harbour off the west coast of Tasmania. Graham Readfearn explains how the rescue operation unfolded and reveals what a unique and intelligent species this is,2020-09-28,Presented by Gabrielle Jackson and reported by Graham Readfearn with Adam Morton. Produced by Ellen Leabeater and Joe Koning. The executive producer is Miles Martignoni
How does Australia balance its economic dependency on China with its democratic values?,https://www.theguardian.com/australia-news/audio/2020/sep/25/how-does-australia-balance-its-economic-dependency-on-china-with-its-democratic-values,Australia’s economy has benefited enormously from China’s extraordinary growth and the trade links have helped make Australia one of the world’s richest countries. But the relationship is increasingly strained. Daniel Hurst looks at the history of that relationship and what the options are for the future,2020-09-25,"Presented by Gabrielle Jackson and reported by Daniel Hurst. Produced by Ellen Leabeater, Miles Herbert and Joe Koning. The executive producer is Miles Martignoni"
Protecting history: how Juukan Gorge could change mining forever,https://www.theguardian.com/australia-news/audio/2020/sep/24/protecting-history-how-juukan-gorge-could-change-mining-forever,"When Rio Tinto destroyed a 46,000-year-old Indigenous heritage site, the world’s anger took the company by surprise. Now investors are demanding more transparency in how mining companies deal with traditional owners. Lorena Allam and Calla Wahlquist look at what’s changed since Rio blasted Juukan Gorge",2020-09-24,"Presented by Gabrielle Jackson and reported by Lorena Allam and Calla Wahlquist. Produced by Ellen Leabeater, Miles Herbert and Joe Koning. The executive producer is Miles Martignoni"
Donald Trump and a pattern of alleged sexual assault,https://www.theguardian.com/australia-news/audio/2020/sep/23/former-model-amy-dorris-accuses-donald-trump-of-sexual-assault,"In an exclusive interview with the Guardian, the former model Amy Dorris talked to Lucy Osborne about allegations that Donald Trump sexually assaulted her at the US Open tennis tournament more than two decades ago, in an alleged incident that left her feeling ‘sick’ and ‘violated’",2020-09-23,"Presented by Anushka Asthana with Lucy Osborne and Amy Dorris, produced by Joshua Kelly and Nicholas Cox; executive producers are Nicole Jackson and Phil Maynard"
How Queensland's election became all about the premier and the pandemic,https://www.theguardian.com/australia-news/audio/2020/sep/22/how-queenslands-election-became-all-about-the-premier-and-the-pandemic,"With just six weeks to go before Queensland voters head to the polls, it seems people can talk about little else than Covid-19. Annastacia Palaszczuk’s handling of the crisis has been well-received so far, but as Ben Smee explains, there are potential pitfalls in running a presidential-style campaign during a pandemic",2020-09-22,Presented by Gabrielle Jackson and reported by Ben Smee. Produced by Joe Koning and Ellen Leabeater. The executive producer is Miles Martignoni
What does the poisoning of Alexei Navalny tell us about Vladimir Putin's Russia?,https://www.theguardian.com/australia-news/audio/2020/sep/21/what-does-the-poisoning-of-alexei-navalny-tell-us-about-vladimir-putins-russia,"Luke Harding tells Anushka Asthana the alleged attack on Navalny has all the hallmarks of a state-sponsored hit. As Navalny appears to be recovering from the incident, western leaders are demanding answers from Russia",2020-09-21,Presented by Anushka Asthana with Luke Harding; produced by Rachel Humphreys and Nicholas Cox; executive producers are Nicole Jackson and Phil Maynard; additional production by Joe Koning
