Title,Url,Standfirst,Date
"How Covid-19 laid bare the cracks in Australia’s aged care systemOver half of Covid-19 deaths in Victoria are associated with aged care facilities, but experts say there were warnings about the sector’s vulnerability stretching back many yearsPodcast29:17",https://www.theguardian.com/australia-news/audio/2020/aug/05/how-covid-19-laid-bare-the-cracks-in-australias-aged-care-system,"Over half of Covid-19 deaths in Victoria are associated with aged care facilities, but experts say there were warnings about the sector’s vulnerability stretching back many years",2020-08-05
Will a vaccine or recovery from the virus give us long-term immunity to Covid-19?New evidence on how our bodies combat the virus has huge implications for the development of a coronavirus vaccinePodcast25:45,https://www.theguardian.com/australia-news/audio/2020/aug/04/will-a-vaccine-or-recovery-from-the-virus-give-us-long-term-immunity-to-covid-19,New evidence on how our bodies combat the virus has huge implications for the development of a coronavirus vaccine,2020-08-04
"Inside the bitter struggle for control of Queensland's Liberal National partyQueensland is often a conservative stronghold in federal elections, but in recent years the Liberal National party has struggled to gain and hold power at state level. Now, three months away from an election, tensions in the LNP are on the rise. Ben Smee explains why backroom powerbrokers could be holding the party backPodcast29:23",https://www.theguardian.com/australia-news/audio/2020/aug/02/inside-the-bitter-struggle-for-control-of-queenslands-liberal-national-party,"Queensland is often a conservative stronghold in federal elections, but in recent years the Liberal National party has struggled to gain and hold power at state level. Now, three months away from an election, tensions in the LNP are on the rise. Ben Smee explains why backroom powerbrokers could be holding the party back",2020-08-02
Is Donald Trump playing politics with the Portland protests?Podcast27:36,https://www.theguardian.com/australia-news/audio/2020/jul/30/is-donald-trump-playing-politics-with-the-portland-protests,,2020-07-30
Greg Jericho on what can you expect from the Covid-19 recessionPodcast26:48,https://www.theguardian.com/australia-news/audio/2020/jul/30/greg-jericho-on-what-can-you-expect-from-the-covid-19-recession,,2020-07-30
"How Poland’s election puts at risk LGBT rights, the courts and the free pressA narrow win for the populist incumbent Andrzej Duda in Poland’s presidential election last week has cleared the path for the rightwing Law and Justice party to pursue anti-LGBT policies and further assault the courts and free press. The Guardian’s Christian Davies reports from WarsawPodcast28:45",https://www.theguardian.com/australia-news/audio/2020/jul/29/how-polands-election-puts-at-risk-lgbt-rights-the-courts-and-the-free-press,A narrow win for the populist incumbent Andrzej Duda in Poland’s presidential election last week has cleared the path for the rightwing Law and Justice party to pursue anti-LGBT policies and further assault the courts and free press. The Guardian’s Christian Davies reports from Warsaw,2020-07-29
What do we know about the long-term effects of Covid-19?Melissa Davey explains what we know about how people who contracted coronavirus are recovering more than three months laterPodcast17:49,https://www.theguardian.com/australia-news/audio/2020/jul/28/what-do-we-know-about-the-long-term-effects-of-covid-19,Melissa Davey explains what we know about how people who contracted coronavirus are recovering more than three months later,2020-07-28
Will we ever find life on Mars?Planetary scientist Sarah Stewart Johnson describes how the latest mission to Mars builds on centuries of discoveries about our nearest neighbourPodcast27:30,https://www.theguardian.com/australia-news/audio/2020/jul/27/will-we-ever-find-life-on-mars,Planetary scientist Sarah Stewart Johnson describes how the latest mission to Mars builds on centuries of discoveries about our nearest neighbour,2020-07-27
"'Look what he’s taken from me': one man's fight against child abuse in the churchToday we speak to one alter boy, Walter Denton, about his search for justice and how he helped bring change to the island of Guam.Podcast39:28",https://www.theguardian.com/australia-news/audio/2020/jul/24/look-what-hes-taken-from-me-one-mans-fight-against-child-abuse-in-the-church,"Today we speak to one alter boy, Walter Denton, about his search for justice and how he helped bring change to the island of Guam.",2020-07-24
Why the advice on wearing masks has changedMelbourne has joined numerous cities and countries around the world in making face masks mandatory. So why are the rules changing? Podcast15:57,https://www.theguardian.com/australia-news/audio/2020/jul/23/why-the-advice-on-wearing-masks-has-changed,Melbourne has joined numerous cities and countries around the world in making face masks mandatory. So why are the rules changing? ,2020-07-23
Life inside Melbourne’s public housing towersNor Shanino and Ahmed Dini tell us about what it was like to grow up in Melbourne’s public housing towers and the resilience of their residentsPodcast31:31,https://www.theguardian.com/australia-news/audio/2020/jul/22/life-inside-melbournes-public-housing-towers,Nor Shanino and Ahmed Dini tell us about what it was like to grow up in Melbourne’s public housing towers and the resilience of their residents,2020-07-22
"Who is Ghislaine Maxwell and does she hold the key to justice for Epstein’s victims?Ghislaine Maxwell, a British socialite and daughter of the media baron Robert Maxwell, once attended parties with princes, presidents and celebrities. Now she faces up to 35 years in a US prison for her alleged involvement in Jeffrey Epstein’s sex trafficking of underage girlsPodcast30:02",https://www.theguardian.com/australia-news/audio/2020/jul/21/who-is-ghislaine-maxwell-and-does-she-hold-the-key-to-justice-for-epsteins-victims,"Ghislaine Maxwell, a British socialite and daughter of the media baron Robert Maxwell, once attended parties with princes, presidents and celebrities. Now she faces up to 35 years in a US prison for her alleged involvement in Jeffrey Epstein’s sex trafficking of underage girls",2020-07-21
"Facebook, white nationalists and becoming the target of a hate campaignJulia Carrie Wong discusses the impact reporting on white nationalists had on her and why she believes Facebook has played a role in creating the conditions that enable that kind of harassmentPodcast26:31",https://www.theguardian.com/australia-news/audio/2020/jul/20/facebook-white-nationalists-and-becoming-the-target-of-a-hate-campaign,Julia Carrie Wong discusses the impact reporting on white nationalists had on her and why she believes Facebook has played a role in creating the conditions that enable that kind of harassment,2020-07-20
What has Australia learned about how to contain Covid-19 outbreaks?Melissa Davey and Professor Peter Collignon explain how the latest surge in coronavirus cases in Victoria and NSW may be contained Podcast21:03,https://www.theguardian.com/australia-news/audio/2020/jul/17/what-has-australia-learned-about-how-to-contain-covid-19-outbreaks,Melissa Davey and Professor Peter Collignon explain how the latest surge in coronavirus cases in Victoria and NSW may be contained ,2020-07-17
The fight over your superannuation increaseBen Butler breaks down the debate over raising employers’ superannuation contribution from 9.5% of your wage to 10%Podcast19:34,https://www.theguardian.com/australia-news/audio/2020/jul/16/the-fight-over-your-superannuation-increase,Ben Butler breaks down the debate over raising employers’ superannuation contribution from 9.5% of your wage to 10%,2020-07-16
"What would Israeli annexation of parts of the West Bank mean for Palestinians?Mariam Barghouti and Salem Barahmeh explain how seizing swathes of land would formalise a system millions of Palestinians are already enduring, while Oliver Holmes examines what is driving Israel’s PMPodcast31:21",https://www.theguardian.com/australia-news/audio/2020/jul/15/what-would-israeli-annexation-of-parts-of-the-west-bank-mean-for-palestinians,"Mariam Barghouti and Salem Barahmeh explain how seizing swathes of land would formalise a system millions of Palestinians are already enduring, while Oliver Holmes examines what is driving Israel’s PM",2020-07-15
What are the palace letters and what do I need to know about them? - podcastPodcast41:00,https://www.theguardian.com/australia-news/audio/2020/jul/14/what-are-the-palace-letters-and-what-do-i-need-to-know-about-them,,2020-07-14
Coming soon: the palace lettersPodcast01:56,https://www.theguardian.com/australia-news/audio/2020/jul/14/coming-soon-the-palace-letters,,2020-07-14
"The scandal of millions of Americans deprived of running waterGuardian US environmental justice reporter Nina Lakhani reports on her landmark investigation into America’s water crisis, revealing that millions of Americans are facing unaffordable bills for running water and risk being disconnected or losing their homesPodcast27:23",https://www.theguardian.com/australia-news/audio/2020/jul/13/the-scandal-of-millions-of-americans-deprived-of-running-water,"Guardian US environmental justice reporter Nina Lakhani reports on her landmark investigation into America’s water crisis, revealing that millions of Americans are facing unaffordable bills for running water and risk being disconnected or losing their homes",2020-07-13
"Power, privilege and sexual harassment in the Australian legal professionNaaman Zhou and Catharine Lumby speak to Laura Murphy-Oates about law’s gender problem Podcast26:36",https://www.theguardian.com/australia-news/audio/2020/jul/10/power-privilege-and-sexual-harassment-in-the-australian-legal-profession,Naaman Zhou and Catharine Lumby speak to Laura Murphy-Oates about law’s gender problem ,2020-07-10
