published,title,description,link,Pub
2026-02-01T20:14:41+00:00,"Serious talks with Iran underway, says US President Trump | 9 News Australia","US President Donald Trump says he is having ""serious discussions"" with Iran, as the embattled nation looks to avert military strikes. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=IXRf9T5JKwY,9News
2026-02-01T20:15:20+00:00,"Carlos Alcaraz wins Australian Open final, defeating Novak Djokovic | 9 News Australia","Carlos Alcaraz has broken Rafael Nadal's 2010 record, becoming the youngest man to complete a Career Grand Slam. The 22-year-old achieved the historic milestone by defeating tennis legend Novak Djokovic in the Australian Open final. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=omy3CeCb4mA,9News
2026-02-01T20:55:03+00:00,New Prince Andrew claims emerge with more releases from the Epstein files | 9 News Australia,"Another woman has come forward claiming she was flown to the UK by Jeffrey Epstein to meet with Prince Andrew, as more images, videos, and emails are released from the Epstein files. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=2CZefz44zFA,9News
2026-02-01T21:57:57+00:00,New search launched for alleged police killer Dezi Freeman | 9 News Australia,"A new search is underway for alleged police killer Dezi Freeman, with officers focusing their efforts on Mount Buffalo National Park in Victoria. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=fkEqr1wz0Hs,9News
2026-02-01T21:59:05+00:00,House prices still climbing ahead of RBA meeting | 9 News Australia,"New figures reveal that house prices are still climbing across the country, just ahead of the Reserve Bank's first board meeting of the year. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=ipFaRxg9Bl0,9News
2026-02-01T22:00:29+00:00,Queensland bracing for wild weather across the state | 9 News Australia,"Queensland is bracing for wild weather as extreme winds thrash the state's south-east, while floods continue to ravage the north. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=kmSFv6AfzKk,9News
2026-02-01T22:21:23+00:00,"Nationals and Liberals face leadership spills, with One Nation surging in polls | 9 News Australia","Senior Liberals are hosing down suggestions of a challenge to Sussan Ley's leadership, but shocking new polling does not bode well for the Coalition as One Nation surges in support. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=EtnyPi8A4bk,9News
2026-02-02T01:02:59+00:00,Search for accused killer Dezi Freeman ramps up; Nationals leadership spill | 9 News Australia,"The search for accused killer Dezi Freeman has ramped up following a fresh lead. Meanwhile, the divided Coalition is in further disarray, with Nationals leader David Littleproud facing a leadership spill within hours. | *Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9*  *Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6*  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #9News #BreakingNews #NineNewsAustralia #9NewsAU",https://www.youtube.com/watch?v=w1-wqYttPZ8,9News
2026-02-02T01:30:50+00:00,REWIND: Black Saturday: How the bushfire disaster unfolded | 9 News Australia,"On February 7, 2009, the Black Saturday bushfires caused widespread devastation, claiming the lives of 173 people. We look back at the history, the heartbreak, and the heroes of Victoria’s darkest summer. | Subscribe and 🔔: http://9Soci.al/KM6e50GjSK9 | Get more breaking news at 9News.com.au: http://9Soci.al/iyCO50GjSK6  FOLLOW 9News Australia ► Facebook: https://www.facebook.com/9News/ ► Twitter: https://twitter.com/9NewsAUS ► Instagram: https://www.instagram.com/9news/  Join 9News for the latest in news and events that affect you in your local city, as well as news from across Australia and the world.  #BREAKINGNEWS #9NEWS #AUSTRALIA",https://www.youtube.com/watch?v=Gcgq8pV9zy4,9News
2026-02-02T01:54:12+00:00,COVID scare hits Olympic training centre | 9 News Australia,None of our Australian athletes have tested positive to COVID. #9News,https://www.youtube.com/shorts/imOhKANonZs,9News
